id,vin,stock_number,make,model,trim,model_year,body_style,exterior_color,interior_color,engine,transmission,drivetrain,fuel_type,mileage,mpg_city,mpg_highway,electric_range_miles,condition,title_status,accident_count,owner_count,carfax_url,msrp,acquisition_cost,list_price,sale_price,date_acquired,date_sold,status,lot_location,state,days_in_inventory,salesperson_name,salesperson_email,certified_pre_owned_program,warranty_months_remaining,keys_count,financing_available,trade_in_accepted,featured,views_count,exterior_condition_notes,interior_condition_notes,features,description
31,7UYBB48Z2P4H0ATNX,STK20260031,Volkswagen,Jetta,Base,2019,sedan,Yellow,Brown,2.0L I4 Turbo,10-Speed Automatic,FWD,gas,85005,25,32,,used,clean,0,2,https://www.carfax.com/vehicle/7YAUPA0UKT0R8F7UH,29200,8900,10500,,2026-06-29,,available,Overflow Lot,IL,40,Tom O'Malley,tomalley@dealership.com,,0,2,True,True,True,418,Light wear on wheel rims,Small stain on rear seat,Keyless Entry; Panoramic Roof; Android Auto; Premium Audio; 360 Camera; Leather Seats; Lane Keep Assist; Navigation System,"2019 Volkswagen Jetta Base - sedan in beige, well-maintained with 85,005 miles."
32,B7L8W10PCFH4N6L1E,STK20260032,Volvo,XC60,Trail,2023,suv,Matte Gray,Off-White,Tri Motor Electric,1-Speed Direct Drive,FWD,electric,39316,,,304,used,clean,0,2,https://www.carfax.com/vehicle/C1MDHCWXW8LX2RHVN,44400,17000,21800,,2026-08-05,,available,Main Lot - B,CO,3,Derek Chan,dchan@dealership.com,,0,1,True,True,False,87,Small scratch on bumper,,Wireless Charging; Keyless Entry; Navigation System; Sunroof; Leather Seats; Remote Start; Apple CarPlay; 360 Camera; Adaptive Cruise Control,"2023 Volvo XC60 Trail - suv in red, well-maintained with 39,316 miles."
33,C669VFNEKTCRPSCJJ,STK20260033,Tesla,Model X,Base,2024,suv,Yellow,Tan,Dual Motor Electric,1-Speed Direct Drive,AWD,electric,23227,,,319,used,clean,0,1,https://www.carfax.com/vehicle/WGDL8LX3LM359EL8G,77800,39300,49500,,2026-03-18,,available,North Lot,NY,143,Derek Chan,dchan@dealership.com,,6,2,True,True,False,651,Windshield chip (non-obstructive),Small stain on rear seat,Adaptive Cruise Control; Ventilated Seats; Tow Package,"2024 Tesla Model X Base - suv in beige, well-maintained with 23,227 miles."
34,9SPT7ZU3M6UYC2YMY,STK20260034,Volvo,XC60,Premium,2021,suv,White,Brown,5.0L V8,10-Speed Automatic,RWD,gas,61734,19,31,,used,clean,1,2,https://www.carfax.com/vehicle/9ZP18RAJTUWVRN2WT,59700,17200,22400,,2026-02-07,,available,North Lot,CA,182,James Whitfield,jwhitfield@dealership.com,,3,2,True,True,False,90,Minor door ding rear passenger side,,Third Row Seating; Navigation System; Apple CarPlay; Ventilated Seats; Tow Package,"2021 Volvo XC60 Premium - suv in black, well-maintained with 61,734 miles."
35,RAXGWN0G13CD5GLSJ,STK20260035,Tesla,Model S,LE,2022,sedan,Beige,Brown,Tri Motor Electric,1-Speed Direct Drive,4WD,electric,44330,,,304,used,clean,0,2,https://www.carfax.com/vehicle/8LNNDMSFZ37WZLHDN,55300,15300,20500,,2026-01-02,,available,Main Lot - B,CO,218,Tom O'Malley,tomalley@dealership.com,,0,2,True,False,False,193,Windshield chip (non-obstructive),,Panoramic Roof; Third Row Seating; Tow Package; Android Auto; Lane Keep Assist; Remote Start,"2022 Tesla Model S LE - sedan in beige, well-maintained with 44,330 miles."
36,HK2V2TTVJU9U12RHR,STK20260036,Dodge,Challenger,Touring,2024,coupe,Matte Gray,Off-White,2.0L I4 Turbo,CVT,4WD,gas,23510,18,27,,used,clean,2,1,https://www.carfax.com/vehicle/1K9RM3R92H3WM0XFE,45500,26000,32300,,2026-06-19,,available,Main Lot - B,FL,50,,,,3,1,True,False,False,554,,,Panoramic Roof; Keyless Entry; Android Auto; Leather Seats; Backup Camera; Tow Package; Heated Steering Wheel; Heated Seats; Apple CarPlay,"2024 Dodge Challenger Touring - coupe in silver, well-maintained with 23,510 miles."
37,K7N8LA211SYMCUHRG,STK20260037,Kia,Sorento,Platinum,2022,suv,Red,Gray,Single Motor Electric,1-Speed Direct Drive,4WD,electric,41712,,,315,certified_pre_owned,clean,1,2,https://www.carfax.com/vehicle/4MWVTMZBD2SE5RA8G,43100,13300,16000,,2026-07-05,,available,Main Lot - B,IL,34,Lena Kowalski,lkowalski@dealership.com,Kia Certified,12,2,True,True,False,259,Light wear on wheel rims,,Tow Package; Panoramic Roof; Leather Seats; 360 Camera; Heated Steering Wheel; Navigation System,"2022 Kia Sorento Platinum - suv in black, well-maintained with 41,712 miles."
38,DNKN35YZCVXFMH17X,STK20260038,Nissan,Rogue,Denali,2026,suv,Beige,Beige,2.5L I4 Hybrid,6-Speed Manual,FWD,hybrid,8,30,36,,new,clean,0,0,,36100,30700,36200,,2026-06-11,,available,Main Lot - A,TX,58,,,,36,2,True,False,False,362,,,Heated Seats; Ventilated Seats; Apple CarPlay; Keyless Entry; Leather Seats; Heated Steering Wheel; Blind Spot Monitor; Sunroof; Premium Audio,"2026 Nissan Rogue Denali - suv in dark green, brand new with 8 miles."
39,NZ282ACJBB3TXTP0C,STK20260039,Kia,Sportage,SEL,2023,suv,Burgundy,Brown,2.0L I4 Hybrid,8-Speed Automatic,AWD,hybrid,40383,31,42,,used,clean,1,3,https://www.carfax.com/vehicle/XKLTG3UNX4ZC014BC,25900,10200,12000,,2026-02-23,,available,Downtown Annex,TX,166,,,,0,2,True,True,False,676,,,Leather Seats; Lane Keep Assist; Backup Camera; Premium Audio; Remote Start; Heated Steering Wheel; Blind Spot Monitor,"2023 Kia Sportage SEL - suv in matte gray, well-maintained with 40,383 miles."
40,26ZD1A5ABN7F8B30Y,STK20260040,BMW,3 Series,SE,2026,sedan,Gray,Gray,2.5L I4,9-Speed Automatic,AWD,gas,2564,20,29,,used,clean,0,2,https://www.carfax.com/vehicle/J7L4VDZBHUBP552LC,49200,37400,51300,,2026-07-08,,available,Downtown Annex,CA,31,Aisha Bello,abello@dealership.com,,6,2,True,True,False,314,,Small stain on rear seat,Lane Keep Assist; Premium Audio; Sunroof; Keyless Entry; Android Auto; Heated Steering Wheel,"2026 BMW 3 Series SE - sedan in matte gray, well-maintained with 2,564 miles."
41,0N9CDE4CVR8HJL301,STK20260041,Porsche,Cayenne,Denali,2019,suv,Blue,Tan,3.0L V6 Turbodiesel,10-Speed Automatic,FWD,diesel,20807,21,32,,certified_pre_owned,clean,2,1,https://www.carfax.com/vehicle/JCG2WFFSPU8GLJDFZ,125800,33100,44900,,2026-02-11,,available,Overflow Lot,CA,178,Lena Kowalski,lkowalski@dealership.com,Porsche Certified,12,2,True,True,True,257,Small scratch on bumper,Small stain on rear seat,Sunroof; Apple CarPlay; Navigation System; Leather Seats; Heated Steering Wheel; Panoramic Roof,"2019 Porsche Cayenne Denali - suv in blue, well-maintained with 20,807 miles."
42,E64LBSFV4PAZFHGK6,STK20260042,Audi,A4,Premium,2022,sedan,White,Brown,Tri Motor Electric,1-Speed Direct Drive,RWD,electric,10036,,,323,certified_pre_owned,clean,3,1,https://www.carfax.com/vehicle/XJKPVCKEG6UX3392M,43800,15000,20600,,2026-07-23,,available,Overflow Lot,GA,16,Lena Kowalski,lkowalski@dealership.com,Audi Certified,36,2,True,True,False,29,Light wear on wheel rims,,Leather Seats; Blind Spot Monitor; Panoramic Roof,"2022 Audi A4 Premium - sedan in blue, well-maintained with 10,036 miles."
43,UFBBWASLX3MF35BE0,STK20260043,Porsche,Cayenne,GT,2026,suv,Silver,Black,2.5L I4 PHEV,9-Speed Automatic,RWD,plug-in hybrid,11839,31,43,,certified_pre_owned,clean,1,2,https://www.carfax.com/vehicle/458N8PDKEF838YF8Z,128400,94100,127700,,2026-01-11,,available,Overflow Lot,WA,209,Tom O'Malley,tomalley@dealership.com,Porsche Certified,24,2,True,True,False,708,Minor door ding rear passenger side,,Remote Start; Premium Audio; Backup Camera; Wireless Charging; Apple CarPlay; Adaptive Cruise Control; Heated Seats,"2026 Porsche Cayenne GT - suv in red, well-maintained with 11,839 miles."
44,GZM20BRPFP6MN43W2,STK20260044,Tesla,Model Y,Trail,2026,suv,Gray,Beige,Tri Motor Electric,1-Speed Direct Drive,FWD,electric,33663,,,253,certified_pre_owned,clean,2,1,https://www.carfax.com/vehicle/R3BAJDM6FC89M960R,48300,33900,45300,,2026-02-25,,available,Main Lot - B,CO,164,James Whitfield,jwhitfield@dealership.com,Tesla Certified,24,2,True,True,False,197,Minor door ding rear passenger side,,Remote Start; Panoramic Roof; Backup Camera,"2026 Tesla Model Y Trail - suv in dark green, well-maintained with 33,663 miles."
45,NRJSHJC1ZCMU9WV44,STK20260045,Dodge,Challenger,SL,2022,coupe,Dark Green,Brown,Single Motor Electric,1-Speed Direct Drive,FWD,electric,51292,,,268,used,clean,0,1,https://www.carfax.com/vehicle/Z7VHKP5BVUV9E8R8F,39000,11000,13400,,2026-03-07,,pending,Main Lot - B,FL,154,Aisha Bello,abello@dealership.com,,0,2,True,True,True,702,Light wear on wheel rims,Small stain on rear seat,Keyless Entry; Navigation System; Leather Seats; Tow Package; Android Auto; Heated Steering Wheel,"2022 Dodge Challenger SL - coupe in dark green, well-maintained with 51,292 miles."
46,VSFPXZPP6ZBSJNM3L,STK20260046,Mercedes-Benz,E-Class,GT,2022,sedan,Beige,Off-White,3.5L V6,9-Speed Automatic,4WD,gas,50265,28,40,,used,clean,1,1,https://www.carfax.com/vehicle/Z9HK12L1WCR7PSUNB,72200,21800,25700,25700,2026-08-04,2026-08-04,sold,Main Lot - B,TX,0,Priya Nair,pnair@dealership.com,,6,2,False,True,False,539,,,Heated Seats; Adaptive Cruise Control; 360 Camera; Premium Audio; Ventilated Seats; Apple CarPlay; Blind Spot Monitor,"2022 Mercedes-Benz E-Class GT - sedan in orange, well-maintained with 50,265 miles."
